Doc. Type1,Author Type2,Organisation3,Code,N/I,Language,Document title,"Size
 (characters)",Year,Remarks,Stat.1
GP,CB,BdF,GP_BdF_2014,N,F,Réponses aux questions fréquemment posées sur le passage au 6ème Manuel de balance des paiements et de la position extérieure globale (BPM6) et sur la disponibilité des données (FAQ),10 600,2014,,
GP,SO,BEA,GP_BEA_2020,N,E,International Transactions Accounts,2 766,2020,,
GP,SO,EuS,GP_EuS_2020,I,E,Balance of payments — Overview,3 219,2020,,
GP,SO,EuS,GP_EuS_2020-02,I,E,Balance of payment statistics - background ,19 301,2020,,
GP,SO,EuS,GP_EuS_2021,I,E,Balance of payments - International transactions (BPM6) (bop_6). Reference Metadata in Euro SDMX Metadata Structure (ESMS),42 365,2020,,
GP,SO,EuS,GP_EuS_2021-01,I,E,Beginners:Balance of payments ,19 721,2021,,
GP,CB,NBB,GP_NBB_2016,N,F,La balance des paiements pour les non-spécialistes,22 000,2016,,
GP,CB,NBB,GP_NBB_2019,N,F,Modifications méthodologiques apportées à la statistique de la balance des paiements,9 207,2019,,
GP,SO,ONS,GP_ONS_2015,N,E,An introduction to the United Kingdom balance of payments,50 538,2015,,
GP,SO,Statec,GP_STATEC_2014,N,F,Présentation de l’unité,13 144,2014,,
GP,SO,Statec,GP_STATEC_2014-2,N,F,BALANCE DES PAIEMENTS,10 355,2014,,
GP,CB,OeNB,GP_OeNB_2020,N,D,Die Zahlungsbilanz,9 052,2020,,
GP,CB,OeNB,GP_OeNB_2020_2,N,D,Zahlungsbilanz – Gesamtübersicht – Global,2 144,2020,,
GP,CB,OeNB,GP_OeNB_2020_3,N,D,Wozu dient die Außenwirtschaftsstatistik?,3 559,2020,,
GP,SO,EuS,GP_EuS_2020_03,I,E,Balance of payments and international investment position manual (BPM6) - Statistics Explained,9 822,2020,,
GP,SO,EuS,GP_EuS_2017,I,E,Globalisation patterns in EU trade and investment,322 810,2017,,
GP,CB,NBB,GP_NBB_2022,N,F,Méthodologie,9 386,2022,,
GP,CB,OeNB,GP_OeNB_2020_LB,N,D,Leistungsbilanz (inkl. Vermögensübertragungen) – Detailübersicht,1 900,2020,,
PP,OT,Acad,PP_Acad_2010,N,E,"Measuring the Location of Production in a World of
intangible Productive Assets, FDI, and Intra-Firm Trade",30 580,2010,Quoted in Measuring GDP in a globalised world (presentation),
PP,CB,BdF,PP_BdF_2014-t4 pp.125-141,N,F,La balance des paiements de la France selon les nouvelles normes internationales : une réponse statistique à la mondialisation de l’économie,41 046,2014,,
PP,SO,BEA,PP_BEA_2010,N,E,A Guide to the U.S. International Transactions Accounts and the U.S. International Investment Position Accounts,79 478,2010,,
PP,SO,BEA,PP_BEA_2011,N,E,Operations of U.S. Multinational Companies in the United States and Abroad,77 242,2011,,
PP,SO,BEA,PP_BEA_2014-1,N,E,Activities of U.S. Multinational Enterprises in 2012,10 176,2014,,
PP,SO,BEA,PP_BEA_2014-2,N,E,Multinational Enterprises and International Technology Transfer,33 466,2014,,
PP,SO,EuS&BEA,PP_BEA-EuS_2019,I,E,Current account asymmetries in EU-US statistics - 2019 edition,91 433,2019,,
PP,CB,BoE,PP_BoE_2002,N,E,Leading indicators of balance-of-payments crises: a partial review,100 520,2002,,
PP,CB,BoE,PP_BoE_2013,N,E,The Balance of Payments,30 637,2013,,
PP,CB,BuBa,PP_BuBa_2012,N,D,Finanzkrise und Zahlungsbilanzentwicklungen in der Europäischen Währungsunion,63 766,2012,,
PP,CB,BuBa,PP_BuBa_2014,N,D,Diskrepanz zwischen der Veränderung des Auslandsvermögens und des kumulierten Saldos der Kapitalbilanz: kein geeigneter Indikator für Vermögensverluste,10 071,2014,,
PP,CB,BuBa,PP_BuBa_2016-03,N,D,Zum Ein?uss des starken Ölpreisrückgangs und der EuroAbwertung auf die Ausweitung des deutschen Leistungsbilanzüberschusses in den Jahren 2014 und 2015,10 222,2016,,
PP,CB,BuBa,PP_BuBa_2018-04-AV,N,D,Das deutsche Auslandsvermögen: neue statistische Konzepte und Ergebnisse seit der Finanzkrise,48 746,2018,,
PP,CB,BuBa,PP_BuBa_2018-12-AV,N,D,Die deutsche Auslandsposition: Höhe, Rentabilität und Risiken der grenzüberschreitenden Vermögenswerte,82 029,2018,,
PP,CB,BuBa,PP_BuBa_2020-03,N,D,Digitale Käufe privater Haushalte in der Zahlungsbilanz,22 190,2020,,
PP,CB,BuBa,PP_BuBa_2020-07,N,D,Der deutsche Leistungsbilanzüberschuss aus der Sicht makroökonomischer Modelle,83 667,2020,,
PP,CB,BuBa,PP_BuBa_2021_03,N,D,"Aktualisierung der internationalen Standards für die
Außenwirtschafts statistiken und die Volkswirtschaftlichen Gesamtrechnungen",13 839,2021,,
PP,CB,BuBa,PP_BuBa_2021_07,N,D,"Grenzüberschreitende Unternehmensübernahmen:
Auswirkungen der Internationalisierung
auf Unternehmen in Deutschland",62 068,2021,,
PP,OT,CMFB,PP_CMFB_2016-o1,I,E,CMFB opinion on re-shaping the connection between business statistics and BOP-IIP via the FRIBS draft Regulation,7 863,2016,,
PP,OT,CMFB,PP_CMFB_2016-o2,I,E,CMFB opinion on the principles for re-shaping the connection between business statistics and BoP/IIP,6 893,2016,,
PP,SO,CSO,PP_CSO_2018,N,E,Meeting the measurement challenges of Globalisation,30 220,2018,,
PP,CB,ECB,PP_ECB_2014,I,E,Euro area balance of payments and international investment position statistics – 2013 quality report,84 227,2014,,
PP,CB,ECB,PP_ECB_2016,I,E,Euro area balance of payments and international investment position statistics 2015 Quality Report,70 727,2016,,
