Cluster,Rank,Freq,Range,NormFreq,NormRange,BOP TERM,Add. TERM,TERM inferred (extended/shrinked cluster or own knowledge),Further remark,,
direct investment,1,2112,30,0.083,0.789,y,,,,,
financial transactions,2,218,28,0.009,0.737,y,2,nonfinancial | non-financial transaction,,Y =,79
international investment,3,230,26,0.009,0.684,n,1,~ position,,P =,0
current account,4,487,25,0.019,0.658,y,,,,N =,95
financial assets,4,1119,25,0.044,0.658,y,,,,Sum =,174
financial account,6,869,23,0.034,0.605,y,,,,Y with X =,28
financial services,7,312,22,0.012,0.579,y,,,,Sum Y =,107
other investment,7,515,22,0.020,0.579,y,,,,,
detailed information,9,74,21,0.003,0.553,n,,,,,
financial corporations,9,463,21,0.018,0.553,y,,,,,
financial derivatives,9,424,21,0.017,0.553,y,,,,,
financial instruments,9,237,21,0.009,0.553,y,,,,,
national accounts,9,473,21,0.019,0.553,y,,,,,
financial instrument,14,144,20,0.006,0.526,y,,,,,
general government,14,501,20,0.020,0.526,y,,,,,
primary income,14,480,20,0.019,0.526,y,,,,,
financial institutions,17,327,19,0.013,0.500,y,,,,,
direct investor,18,329,18,0.013,0.474,y,,,,,
financial accounts,18,119,18,0.005,0.474,y,,,,,
financial intermediaries,18,190,18,0.007,0.474,y,,,,,
international standards,18,61,18,0.002,0.474,n,,,,,
more information,18,65,18,0.003,0.474,n,,,,,
net errors,18,110,18,0.004,0.474,n,1,~ and omissions,,,
other changes,18,467,18,0.018,0.474,n,2,~ in the volume of assets [account],A class in BPM6. Can be defined as an  account,,
other countries,18,87,18,0.003,0.474,n,,,,,
secondary income,18,315,18,0.012,0.474,y,,,,,
annual data,27,77,17,0.003,0.447,n,,,,,
current transfers,27,359,17,0.014,0.447,y,,,,,
financial sector,27,56,17,0.002,0.447,y,,,,,
foreign currency,27,303,17,0.012,0.447,y,,,,,
institutional sector,27,134,17,0.005,0.447,y,,,,,
international trade,27,164,17,0.006,0.447,n,,,"~in services;
~ in goods",,
mutual funds,27,33,17,0.001,0.447,y,,,,,
other data,27,48,17,0.002,0.447,n,,,,,
directional principle,35,69,16,0.003,0.421,y,1,"
asset / liability principle",gross assets and liabilites basis; asset and liability presentation (IMF 2009; gross basis (CSO 2014),,
economic activity,35,95,16,0.004,0.421,n,,,,,
economic territory,35,275,16,0.011,0.421,y,,,,,
financial flows,35,68,16,0.003,0.421,y,,,As opposed to G+S flows?,,
financial intermediation,35,122,16,0.005,0.421,y,,,,,
financial service,35,47,16,0.002,0.421,y,,,,,
geographical allocation,35,79,16,0.003,0.421,n,,,,,
institutional units,35,703,16,0.028,0.421,y,,,,,
life insurance,35,163,16,0.006,0.421,y,,,,,
other sectors,35,176,16,0.007,0.421,n,,,,,
statistical data,35,40,16,0.002,0.421,n,,,,,
such transactions,35,51,16,0.002,0.421,n,,,,,
central banks,48,118,15,0.005,0.395,y,,,,,
economic interest,48,102,15,0.004,0.395,n,1,center of predominant ~; center of ~,,,
external debt,48,110,15,0.004,0.395,y,,,,,
foreign affiliates,48,178,15,0.007,0.395,y,,,,,
geographical breakdown,48,74,15,0.003,0.395,n,,,,,
international organisations,48,65,15,0.003,0.395,n,,,,,
national level,48,20,15,0.001,0.395,n,,,,,
other accounts,48,135,15,0.005,0.395,n,,,,,
other sources,48,91,15,0.004,0.395,n,,,,,
own account,48,120,15,0.005,0.395,n,,,,,
profit institutions,48,111,15,0.004,0.395,n,2,nonprofit institutions serving households; non-profit ~; NPISHs,,,
real estate,48,105,15,0.004,0.395,n,,,,,
statistical standards,48,41,15,0.002,0.395,n,,,,,
administrative data,61,88,14,0.003,0.368,n,,,,,
administrative sources,61,54,14,0.002,0.368,n,,,,,
foreign assets,61,89,14,0.004,0.368,y,,,,,
functional categories,61,106,14,0.004,0.368,y,,,,,
functional category,61,122,14,0.005,0.368,y,,,,,
gross basis,61,79,14,0.003,0.368,n,,,,,
intellectual property,61,207,14,0.008,0.368,y,2,~ rights,,,
net acquisition,61,97,14,0.004,0.368,n,,,,,
net lending,61,147,14,0.006,0.368,y,1,net borrowing,,,
original maturity,61,39,14,0.002,0.368,y,,,,,
other flows,61,148,14,0.006,0.368,y,,,,,
reinvested earnings,61,90,14,0.004,0.368,y,,,,,
such cases,61,96,14,0.004,0.368,n,,,,,
collective investment,74,46,13,0.002,0.342,y,,,,,
direct investors,74,127,13,0.005,0.342,y,,,,,
fellow enterprises,74,144,13,0.006,0.342,y,,,,,
first time,74,26,13,0.001,0.342,n,,,,,
institutional unit,74,454,13,0.018,0.342,y,,,,,
international accounts,74,393,13,0.015,0.342,y,,,,,
international organizations,74,205,13,0.008,0.342,n,,,,,
international payments,74,61,13,0.002,0.342,n,1,balance of international payments,,,
international transactions,74,187,13,0.007,0.342,y,1,~ accounts,"(noun plural, = BOP in the USA)",,
monetary authorities,74,192,13,0.008,0.342,y,,,,,
more detail,74,72,13,0.003,0.342,n,,,,,
net incurrence,74,73,13,0.003,0.342,n,1,~ of liabilities,,,
other services,74,87,13,0.003,0.342,y,,,A classe of services in BPM6,,
quarterly data,74,148,13,0.006,0.342,n,,,,,
reverse investment,74,68,13,0.003,0.342,y,,,,,
sixth edition,74,56,13,0.002,0.342,n,,,,,
statistical information,74,51,13,0.002,0.342,n,,,,,
technical reserves,74,169,13,0.007,0.342,y,1,insurance ~,,,
accrual basis,92,148,12,0.006,0.316,y,,,,,
available data,92,26,12,0.001,0.316,n,,,,,
central bank,92,382,12,0.015,0.316,y,,,,,
financial asset,92,164,12,0.006,0.316,y,,,,,
general merchandise,92,126,12,0.005,0.316,y,,,,,
international reserves,92,42,12,0.002,0.316,y,,,,,
monetary gold,92,178,12,0.007,0.316,y,2,non-monetary gold; nonmonetary gold,,,
national data,92,35,12,0.001,0.316,n,,,,,
net basis,92,48,12,0.002,0.316,n,,,Phraseology: recorded on a net basis (cf. financial account transactions),,
net income,92,54,12,0.002,0.316,n,,,,,
other assets,92,70,12,0.003,0.316,n,,,,,
other capital,92,65,12,0.003,0.316,n,2,"~ transfers;
miscellanous current transfers",,,
other information,92,30,12,0.001,0.316,n,,,,,
other types,92,57,12,0.002,0.316,n,,,,,
personal transfers,92,117,12,0.005,0.316,y,,,,,
quarterly balance,92,24,12,0.001,0.316,n,,,,,
recreational services,92,55,12,0.002,0.316,y,,,,,
resident sector,92,52,12,0.002,0.316,n,,,,,
resident units,92,131,12,0.005,0.316,n,,,,,
domestic product,111,75,11,0.003,0.289,n,,,,,
economic activities,111,83,11,0.003,0.289,n,,,,,
economic ownership,111,140,11,0.006,0.289,y,,,,,
economic statistics,111,40,11,0.002,0.289,y,,," Because the focus of economic statistics is on a single economy , a legal entity may be split into separate institutional units for statistical purposes . The step is taken because each of the parts has such a strong connection with the economic territory in which it is located that it should be considered as part of that economy .  (IMF 2009 4.20)",,
economic value,111,88,11,0.003,0.289,n,,,,,
financial enterprises,111,76,11,0.003,0.289,n,,,,,
financial intermediary,111,25,11,0.001,0.289,y,,,,,
financial leases,111,50,11,0.002,0.289,y,,,,,
financial leasing,111,26,11,0.001,0.289,y,,,,,
financial markets,111,99,11,0.004,0.289,y,,,,,
foreign exchange,111,167,11,0.007,0.289,y,,,,,
further details,111,40,11,0.002,0.289,n,,,,,
institutional sectors,111,151,11,0.006,0.289,y,,,,,
local government,111,39,11,0.002,0.289,y,,,,,
national balance,111,51,11,0.002,0.289,n,,,,,
national compilers,111,83,11,0.003,0.289,n,,,,,
natural resources,111,196,11,0.008,0.289,y,,,,,
net exports,111,42,11,0.002,0.289,n,,,,,
net investment,111,23,11,0.001,0.289,n,,,,,
new data,111,30,11,0.001,0.289,n,,,,,
operational leasing,111,29,11,0.001,0.289,n,1,operational lease,The ~ing form is a verbal form,,
other business,111,106,11,0.004,0.289,n,,,,,
other equity,111,103,11,0.004,0.289,y,,,A class of instruments in BPM6,,
other government,111,36,11,0.001,0.289,n,,,,,
other institutions,111,18,11,0.001,0.289,n,,,,,
own right,111,58,11,0.002,0.289,n,,,,,
quarterly basis,111,87,11,0.003,0.289,n,,,,,
resident households,111,89,11,0.004,0.289,n,,,,,
same time,111,84,11,0.003,0.289,n,,,,,
short term,111,20,11,0.001,0.289,n,,,,,
total value,111,114,11,0.004,0.289,n,,,,,
additional information,142,87,10,0.003,0.263,n,,,,,
auxiliary services,142,28,10,0.001,0.263,n,,,,,
border transactions,142,62,10,0.002,0.263,n,2,"cross-~;
cross-border positions",,,
current market,142,47,10,0.002,0.263,n,,,,,
different types,142,76,10,0.003,0.263,n,,,,,
economic accounts,142,145,10,0.006,0.263,y,2,"national ~;
international ~",,,
economic transactions,142,21,10,0.001,0.263,n,,,,,
external assets,142,90,10,0.004,0.263,y,,,,,
financial liabilities,142,29,10,0.001,0.263,y,,,,,
foreign investment,142,37,10,0.001,0.263,y,,,"Hypernym of DI, PI, OI, FD and RA",,
general rule,142,22,10,0.001,0.263,n,,,,,
intermediate consumption,142,293,10,0.012,0.263,n,,,SNA,,
macroeconomic statistics,142,41,10,0.002,0.263,y,,,,,
many countries,142,43,10,0.002,0.263,n,,,,,
military bases,142,47,10,0.002,0.263,n,,,,,
most cases,142,53,10,0.002,0.263,n,,,,,
most countries,142,37,10,0.001,0.263,n,,,,,
most part,142,15,10,0.001,0.263,n,,,,,
nominal value,142,102,10,0.004,0.263,n,,,,,
