Cluster;Rank;Freq;Range;NormFreq;NormRange;BOP TERM;Add. TERM;TERM inferred (extended/shrinked cluster or own knowledge);Further remark;BOP Collocation;;
canadian system of macroeconomic accounts;1;26;8;0.095;0.211;n;;;;;;
financial intermediaries except insurance corporations;2;8;7;0.029;0.184;n;;;~ and pension funds (a class in BPM6);;Y =;3
own funds at book value;2;32;7;0.117;0.184;y;1;OFBV;A method of valuation;;P =;0
international trade in goods statistics;4;7;5;0.026;0.132;n;;;See comment for international trade cluster 8;;N =;18
other changes in assets account;5;6;4;0.022;0.105;n;;;SNA;;Sum =;21
canadian system of national accounts;6;7;3;0.026;0.079;n;;;;;Y with X =;3
hydroelectric schemes on border rivers;6;5;3;0.018;0.079;n;;;;;Sum Y =;6
international system of national accounts;6;5;3;0.018;0.079;y;;;;;;
international trade in services statistics;6;5;3;0.018;0.079;n;;;See comment for international trade cluster 8;;;
other changes in volume account;6;8;3;0.029;0.079;y;;;;;;
secondary distribution of income account;6;82;3;0.300;0.079;n;;;SNA;;;
common concept with bop dsd;12;23;2;0.084;0.053;n;;;;;;
other changes in assets accounts;12;12;2;0.044;0.053;n;;;SNA;;;
other changes in financial assets;12;8;2;0.029;0.053;n;2;other changes in financial assets and liabilities (account);;;;
foreign holdings of u.s. currency;15;5;1;0.018;0.026;n;;;;;;
foreign holdings of u.s. equity;15;5;1;0.018;0.026;n;;;;;;
international recommendations for tourism statistics;15;5;1;0.018;0.026;n;;;;;;
net shipments of u.s. currency;15;5;1;0.018;0.026;n;;;;;;
personal expenditure on consumer goods;15;5;1;0.018;0.026;n;;;;;;
primary distribution of income account;15;9;1;0.033;0.026;n;;;SNA;;;
financial incurrence of assets liabilities;15;5;1;0.018;0.026;n;;;TXT file cleaning error;;;
