Cluster;Rank;Freq;Range;NormFreq;NormRange;BOP TERM;Add. TERM;TERM inferred (extended/shrinked cluster or own knowledge);Further remark;BOP Collocation;;
international merchandise trade statistics;1;31;7;0.388;0.184;y;1;IMTS;An individual of <Non-BOP-Statistics>;;;
international investment position statistics;2;19;11;0.237;0.289;y;1;IIP statistics;;;Y =;2
direct investor's share;3;16;9;0.200;0.237;n;;;;;P =;0
euro area eu countries;4;7;5;0.087;0.132;n;;;;;N =;3
financial account records transactions;4;7;6;0.087;0.158;n;;;;;Sum =;5
;;;;;;;;;;;Y with X =;2
;;;;;;;;;;;Sum Y =;4
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
