File,Left Context,Hit,Right Context
GP_EuS_2021.txt,residents of the EU . The balance of payments of the EU institutions is added to the EU aggregate . Intra - EU transactions are ,not included ,"in the calculation of the aggregate .    This methodology , which is used to compile the BOP aggregates for the EU27 and "
GP_ONS_2015.txt,banks ’ interest rate swaps and forward rate agreements are included in financial derivatives data and only in the financial account ; financial derivatives are ,not included ,"in the IIP before 2004 . From 2010 , the financial derivatives data include the financial derivatives activity of UK securities dealers in "
PP_CSO_2018.txt,"in the production of services using their own house or their own car , both of which were previously outside the production boundary or simply ",not included ,"in the productive capital assets of the economy . What are being considered are the activities of digital services , digital enablers , "
PP_ECB_2020.txt,"certain liabilities , such as currency in circulation , debt securities with a maturity of over two years and equity . These liabilities are therefore ",not included ,in the “ net external assets ” and hence holdings of such instruments by non - residents are subsumed under the holdings of 
PP_SCan_2017-2-e.txt,"as the Canadian enterprise these companies are considered part of the FDI framework . As with the cases of minority ownership , these enterprises are ",not included ,"in the inward FATS frame and therefore there is no information on the UIC . Once again , for the purposes of this "
PR_BEA_2017_ar.txt,current cost using the appropriate price indexes for capital goods . 7 . Note that the current - cost adjustments to direct investment income are ,not included ,in the measures of direct investment income in lines 20–31 and 57–66 of table 4.2 or for individual areas and countries in lines 
PR_BEA_2017_ar.txt,current - cost adjustment ) are shown in chart 3 . 10 . The industry detail used in generating the current - cost estimates is ,not included ,"in the published statistics ; only an aggregate current - cost adjustment is included in the published direct investment statistics . Nonetheless , "
PR_ECB_2022_1.txt,"Total assets / liabilities ” refer to the sum of direct investment , portfolio investment , other investment and financial derivatives . Reserve assets are ",not included ,in the total and financial derivatives are reported separately in gross terms under assets and liabilities . Discrepancies between totals and their components 
PR_ECB_2022_2.txt,"Total assets / liabilities ” refer to the sum of direct investment , portfolio investment , other investment and financial derivatives . Reserve assets are ",not included ,in the total and financial derivatives are reported separately in gross terms under assets and liabilities . Discrepancies between totals and their components 
RE_ECB_2016_e.txt,=- residents and balances in foreign currency held by governments of euro area Member States are not considered as reserve assets ; such amounts are,not included ,in the Eurosystem reserves template and are recorded as ‘ other investment ’ within the international investment position if they represent claims on 
RE_ECB_2016_e.txt,"either at the national or at the euro area level . Likewise , foreign exchange positions of central governments and/or the ministries of finance are ",not included ,in the definition of reserve assets for the euro area in accordance with the institutional arrangements in the Treaty on the Functioning of 
RE_ECB_2016_e.txt,respectively used for the conversion of transactions and holdings of foreign currency - denominated assets into euro . The view that other foreign currency liquidity ,not included ,in the reserve assets item of the balance of payments and international investment position statistics might also be an important indicator of a 
RM_BEA_2014.txt,"the United States . 10.12 . BEA Survey Data . Statistics for fuel procured in ports by nonresident ocean and air carriers , which are ",not included ,"in the Census Bureau data de­ scribed above , are based on data collected on BEA ’s surveys of international transactions in transportation "
