Type;POS;Headword;Rank;Freq_Tar;Freq_Ref;Range_Tar;Range_Ref;NormFreq_Tar;NormFreq_Ref;NormRange_Tar;NormRange_Ref;Keyness (Likelihood);Keyness (Effect);BOP Term;Further remark;;;
data;None;None;1;7873;0;38;0;5239.344;0.000;1.000;0.000;363.459;0.010;n;;;;
services;None;None;2;7125;0;34;0;4741.563;0.000;0.895;0.000;328.847;0.009;y;;;;
investment;None;None;3;6177;0;35;0;4110.686;0.000;0.921;0.000;285.003;0.008;n;;;;
assets;None;None;4;5195;0;31;0;3457.182;0.000;0.816;0.000;239.617;0.007;n;;;;
transactions;None;None;5;4917;0;33;0;3272.178;0.000;0.868;0.000;226.773;0.007;y;;;Y =;40
goods;None;None;6;4505;0;30;0;2997.999;0.000;0.789;0.000;207.744;0.006;y;;;P =;0
income;None;None;7;4490;0;33;0;2988.017;0.000;0.868;0.000;207.051;0.006;y;;;N =;182
account;None;None;8;4052;0;34;0;2696.535;0.000;0.895;0.000;186.826;0.005;y;;;Sum =;222
value;None;None;9;4017;0;31;0;2673.243;0.000;0.816;0.000;185.210;0.005;n;;;;
accounts;None;None;10;3752;0;38;0;2496.891;0.000;1.000;0.000;172.977;0.005;y;;;;
statistics;None;None;11;3744;0;38;0;2491.567;0.000;1.000;0.000;172.608;0.005;n;;;;
balance;None;None;12;3344;0;37;0;2225.374;0.000;0.974;0.000;154.146;0.004;n;;;;
payments;None;None;13;3194;0;37;0;2125.551;0.000;0.974;0.000;147.225;0.004;n;;;;
-;None;None;41;1468;0;30;0;976.928;0.000;0.789;0.000;67.628;0.002;n;;;;
%;None;None;201;356;0;22;0;236.912;0.000;0.579;0.000;16.394;0.000;n;;;;
accounting;None;None;67;1042;0;23;0;693.433;0.000;0.605;0.000;47.996;0.001;n;;;;
activities;None;None;84;897;0;29;0;596.938;0.000;0.763;0.000;41.315;0.001;n;;;;
activity;None;None;95;820;0;29;0;545.696;0.000;0.763;0.000;37.768;0.001;n;;;;
addition;None;None;133;577;0;30;0;383.983;0.000;0.789;0.000;26.573;0.001;n;;;;
adjustment;None;None;180;430;0;24;0;286.157;0.000;0.632;0.000;19.802;0.001;n;;;;
adjustments;None;None;163;481;0;25;0;320.097;0.000;0.658;0.000;22.151;0.001;n;;;;
agency;None;None;213;335;0;20;0;222.937;0.000;0.526;0.000;15.427;0.000;n;;;;
allocation;None;None;197;367;0;25;0;244.232;0.000;0.658;0.000;16.901;0.000;n;;;;
amount;None;None;94;834;0;20;0;555.012;0.000;0.526;0.000;38.413;0.001;n;;;;
amounts;None;None;184;412;0;20;0;274.179;0.000;0.526;0.000;18.973;0.001;n;;;;
analysis;None;None;172;465;0;29;0;309.449;0.000;0.763;0.000;21.415;0.001;n;;;;
approach;None;None;181;427;0;24;0;284.161;0.000;0.632;0.000;19.664;0.001;n;;;;
area;None;None;93;836;0;24;0;556.343;0.000;0.632;0.000;38.505;0.001;n;;;;
arrangements;None;None;200;361;0;22;0;240.239;0.000;0.579;0.000;16.624;0.000;n;;;;
asset;None;None;32;1731;0;26;0;1151.950;0.000;0.684;0.000;79.750;0.002;y;;;;
bank;None;None;43;1444;0;31;0;960.957;0.000;0.816;0.000;66.522;0.002;n;;;;
banks;None;None;105;784;0;30;0;521.738;0.000;0.789;0.000;36.109;0.001;n;;;;
basis;None;None;27;1913;0;30;0;1273.068;0.000;0.789;0.000;88.141;0.003;n;;;;
bop;None;None;158;510;0;21;0;339.396;0.000;0.553;0.000;23.487;0.001;y;upper case;;;
bpm6;None;None;49;1325;0;29;0;881.764;0.000;0.763;0.000;61.037;0.002;n;;;;
breakdown;None;None;191;388;0;25;0;258.207;0.000;0.658;0.000;17.868;0.001;n;;;;
business;None;None;102;795;0;26;0;529.059;0.000;0.684;0.000;36.616;0.001;n;;;;
capital;None;None;19;2506;0;29;0;1667.699;0.000;0.763;0.000;115.486;0.003;n;;;;
case;None;None;57;1200;0;28;0;798.579;0.000;0.737;0.000;55.277;0.002;n;;;;
cases;None;None;72;994;0;28;0;661.490;0.000;0.737;0.000;45.784;0.001;n;;;;
categories;None;None;141;550;0;22;0;366.015;0.000;0.579;0.000;25.330;0.001;n;;;;
category;None;None;170;468;0;26;0;311.446;0.000;0.684;0.000;21.553;0.001;n;;;;
change;None;None;63;1066;0;27;0;709.404;0.000;0.711;0.000;49.102;0.001;n;;;;
changes;None;None;21;2208;0;28;0;1469.385;0.000;0.737;0.000;101.743;0.003;n;;;;
claims;None;None;74;983;0;25;0;654.169;0.000;0.658;0.000;45.278;0.001;y;;;;
classification;None;None;99;810;0;25;0;539.041;0.000;0.658;0.000;37.307;0.001;n;;;;
collection;None;None;126;638;0;25;0;424.578;0.000;0.658;0.000;29.383;0.001;n;;;;
companies;None;None;54;1234;0;31;0;821.205;0.000;0.816;0.000;56.843;0.002;n;;;;
company;None;None;113;729;0;26;0;485.137;0.000;0.684;0.000;33.575;0.001;n;;;;
compilation;None;None;106;767;0;27;0;510.425;0.000;0.711;0.000;35.326;0.001;n;;;;
components;None;None;125;639;0;27;0;425.243;0.000;0.711;0.000;29.429;0.001;n;;;;
concept;None;None;137;554;0;20;0;368.677;0.000;0.526;0.000;25.514;0.001;n;;;;
concepts;None;None;214;332;0;22;0;220.940;0.000;0.579;0.000;15.289;0.000;n;;;;
consistency;None;None;173;464;0;24;0;308.784;0.000;0.632;0.000;21.368;0.001;n;;;;
contributions;None;None;127;628;0;21;0;417.923;0.000;0.553;0.000;28.923;0.001;n;A kind of operation;;;
