Type,Rank,Freq,Range,NormFreq,NormRange,BOP TERM,Add. TERM,TERM inferred (extended/shrinked cluster or own knowledge),Further remark,BOP Collocation,,,
data,1,7974,39,5248.542,1.000,n,,,,,,Y =,38
services,2,7137,35,4697.623,0.897,y,,,,,,P =,0
investment,3,6312,36,4154.602,0.923,n,,,,,,N =,258
assets,4,5259,32,3461.510,0.821,n,,,,,,Sum =,296
transactions,5,4944,34,3254.175,0.872,y,,,,,,Y with X =,1
goods,6,4512,31,2969.830,0.795,y,,,,,,Sum Y =,39
income,7,4496,34,2959.298,0.872,n,,,,,,,
account,8,4122,35,2713.129,0.897,y,,,,,,,
value,9,4030,32,2652.574,0.821,n,,,,,,,
statistics,10,3813,39,2509.743,1.000,n,,,,,,,
accounts,11,3720,39,2448.530,1.000,y,,,,,,,
balance,12,3386,38,2228.689,0.974,n,,,,,,,
payments,13,3200,38,2106.262,0.974,n,,,,,,,
economy,14,3118,31,2052.289,0.795,y,,,,,,,
government,15,2954,29,1944.343,0.744,y,,,,,,,
information,16,2616,36,1721.869,0.923,n,,,,,,,
liabilities,17,2573,32,1693.566,0.821,n,,,,,,,
insurance,18,2566,27,1688.959,0.692,y,,,,,,,
capital,19,2526,30,1662.631,0.769,n,,,,,,,
debt,20,2295,30,1510.585,0.769,n,,,,,,,
changes,21,2212,29,1455.954,0.744,n,,,,,,,
trade,22,2119,35,1394.741,0.897,n,,,,,,,
units,23,2078,28,1367.754,0.718,n,,,,,,,
interest,24,2073,26,1364.463,0.667,n,,,,,,,
production,25,2053,29,1351.299,0.744,n,,,,,,,
time,26,1944,33,1279.554,0.846,n,,,,,,,
basis,27,1923,31,1265.732,0.795,n,,,,,,,
securities,28,1909,29,1256.517,0.744,n,,,,,,,
sector,29,1879,33,1236.771,0.846,y,,,,,,,
market,30,1844,29,1213.734,0.744,n,,,,,,,
residents,31,1830,32,1204.519,0.821,y,1,non-residents,,,,,
asset,32,1741,27,1145.938,0.692,n,,,,,,,
period,33,1715,28,1128.825,0.718,n,,,,,,,
example,34,1675,26,1102.497,0.667,n,,,,,,,
price,35,1644,21,1082.092,0.538,n,,,,,,,
corporations,36,1631,29,1073.536,0.744,y,,,,,,,
transfers,37,1625,22,1069.586,0.564,y,,,,,,,
equity,38,1575,31,1036.676,0.795,n,,,,,,,
funds,39,1527,31,1005.082,0.795,n,,,,,,,
enterprises,41,1475,34,970.855,0.872,n,,,,,,,
bank,42,1452,32,955.716,0.821,n,,,,,,,
positions,43,1437,30,945.843,0.769,n,,,,,,,
