Cluster,Rank,Freq,Range,NormFreq,NormRange,BOP TERM,Add. TERM,TERM inferred (extended/shrinked cluster or own knowledge),Further remark,,
a to b,158,12,5,0.001,0.132,N,,,,,
acquisition of assets,53,33,8,0.004,0.211,n,1,net ~,,Y =,11
acquisition of goods,93,21,5,0.003,0.132,n,,,,P =,0
availability of data,160,12,6,0.001,0.158,N,,,,N =,209
balance of international,34,17,9,0.002,0.237,N,1,~ payments,,Sum =,220
balance of payments,1,1535,34,0.183,0.895,Y,,,,Y with X =,30
bank for international,15,37,12,0.004,0.316,N,,,,Sum Y =,41
bank of canada,113,12,6,0.001,0.158,N,,,,,
bank of ireland,23,28,10,0.003,0.263,N,,,,,
bureau of economic,113,14,6,0.001,0.158,N,,,,,
bureau of statistics,158,30,5,0.003,0.132,N,,,,,
case of goods,160,12,5,0.001,0.132,N,,,,,
categories of services,185,10,7,0.001,0.184,N,1,services,,,
certificates of deposit,50,34,9,0.004,0.237,Y,,,,,
change in ownership,37,54,10,0.006,0.263,n,,,,,
change in pension,38,50,7,0.006,0.184,N,,,,,
change in position,114,17,5,0.002,0.132,N,,,,,
change in volume,144,13,5,0.002,0.132,N,1,other ~  ,,,
change of ownership,5,186,15,0.022,0.395,n,,,,,
change of residence,124,15,5,0.002,0.132,n,,,,,
changes in assets,21,75,7,0.009,0.184,n,,,,,
changes in exchange,91,22,7,0.003,0.184,N,,,,,
changes in inventories,29,61,7,0.007,0.184,n,,,,,
changes in pension,100,19,5,0.002,0.132,N,,,,,
changes in positions,69,27,7,0.003,0.184,n,,,,,
changes in prices,50,34,5,0.004,0.132,N,,,,,
changes in volume,9,117,11,0.014,0.289,n,1,other ~,,,
changes of ownership,173,11,7,0.001,0.184,n,,,,,
claims on non,144,13,8,0.002,0.211,N,,,,,
collection of data,45,39,9,0.005,0.237,N,,,,,
committee on balance,113,20,6,0.002,0.158,N,,,,,
compensation of employees,2,391,13,0.047,0.342,Y,,,,,
concept of residence,114,17,7,0.002,0.184,N,1,residence,,,
consumption of goods,124,15,5,0.002,0.132,n,,,,,
costs of production,69,27,5,0.003,0.132,n,,,,,
country of consignment,158,11,5,0.001,0.132,Y,,,,,
country of location,132,14,6,0.002,0.158,y,,,,,
country of origin,84,23,7,0.003,0.184,y,,,,,
country of residence,33,57,13,0.007,0.342,Y,,,,,
currency in circulation,185,10,5,0.001,0.132,n,,,,,
currency of denomination,31,58,7,0.007,0.184,n,,,,,
data on goods,173,11,5,0.001,0.132,N,1,goods,,,
data on services,93,21,6,0.003,0.158,N,,,,,
data on transactions,53,33,10,0.004,0.263,N,,,,,
definition of foreign,16,48,11,0.005,0.289,N,1,foreign direct investment,,,
definition of spes,158,18,5,0.002,0.132,N,2,"special purpose entity;
SPE",,,
degree of influence,46,38,7,0.005,0.184,n,,,Definition of FDIs,,
differences in coverage,160,12,7,0.001,0.184,N,,,,,
economy of residence,24,67,7,0.008,0.184,N,,,economy used as a synonym of economic territory,,
end of period,73,26,7,0.003,0.184,N,,,,,
estimates of transactions,185,10,5,0.001,0.132,N,,,,,
international organisations,132,14,7,0.002,0.184,n,,,,,
export of goods,81,24,9,0.003,0.237,n,,,,,
exports of goods,12,105,16,0.013,0.421,n,,,,,
exports of services,76,25,8,0.003,0.211,n,,,,,
flow of funds,59,31,6,0.004,0.158,N,,,,,
profit institutions,100,19,6,0.002,0.158,n,2,nonprofit institutions serving households; non-profit ~; NPISHs,,,
form of dividends,173,11,6,0.001,0.158,n,1,dividend,,,
form of securities,69,27,7,0.003,0.184,n,1,security,,,
framework for direct,71,13,7,0.001,0.184,n,,,,,
functions of government,114,17,5,0.002,0.132,n,,,,,
funds at book,48,35,8,0.004,0.211,n,,,,,
generation of income,18,85,5,0.010,0.132,n,,,SNA account,,
goods for processing,43,41,12,0.005,0.316,n,,,,,
goods for resale,84,23,6,0.003,0.158,n,,,,,
intellectual property,24,67,9,0.008,0.237,n,,,"~ rights ;
charges for the use of ~",,
net acquisition,185,10,7,0.001,0.184,n,,,,,
net lending,160,12,5,0.001,0.132,n,,,,,
groups of persons,173,11,5,0.001,0.132,n,,,,,
other flows,71,45,7,0.005,0.184,y,,,,,
holders of securities,106,18,6,0.002,0.158,n,,,,,
import of goods,93,21,6,0.003,0.158,n,,,,,
collective investment,173,11,6,0.001,0.158,n,,,,,
imports of goods,8,118,17,0.014,0.447,n,,,,,
imports of services,40,47,13,0.006,0.342,n,,,,,
income of quasi,67,28,6,0.003,0.158,n,,,,,
income on equity,41,44,7,0.005,0.184,n,,,,,
increase in assets,132,14,10,0.002,0.263,n,,,,,
increases in assets,144,13,6,0.002,0.158,n,,,,,
international payments,26,66,13,0.008,0.342,n,1,balance of international payments,,,
interest on loans,132,14,7,0.002,0.184,n,,,,,
