Cluster,Rank,Freq,Range,NormFreq,NormRange,BOP TERM,Add. TERM,TERM inferred (extended/shrinked cluster or own knowledge),Further remark,,
acquisition of goods,376,29,8,0.001,0.027,n,,,,,
allocation of sdrs,234,15,11,0.001,0.037,n,,,,,
balance of payments,1,3827,243,0.140,0.818,y,,,,,
certificates of deposit,145,44,15,0.002,0.051,y,,,,Y =,11
change in ownership,65,85,24,0.003,0.081,n,,,,P =,0
change of ownership,13,250,53,0.009,0.178,n,,,,N =,618
system of macroeconomic,8,189,70,0.007,0.236,n,,,,Sum =,629
information on trade,9,66,64,0.002,0.215,n,,,,Y with X =,33
change of residence,557,15,5,0.001,0.017,n,,,Relevant for statistical recording of flows and positions,Sum Y =,44
number of countries,11,78,59,0.003,0.199,n,,,,,
changes in classification,557,13,5,0.000,0.017,n,,,Relevant for statistical recording of flows and positions,,
changes in classifications,482,25,6,0.001,0.020,n,,,,,
office for national,13,500,53,0.018,0.178,n,,,,,
access to information,15,52,51,0.002,0.172,n,,,,,
table of contents,15,52,51,0.002,0.172,n,,,,,
extent of canada,17,47,47,0.002,0.158,n,,,,,
value of assets,18,76,46,0.003,0.155,n,,,,,
changes in inventories,320,63,9,0.002,0.030,n,,,,,
travel between canada,20,41,41,0.001,0.138,n,,,,,
changes in ownership,429,10,7,0.000,0.024,n,,,,,
bank of england,22,161,39,0.006,0.131,n,,,,,
bureau of economic,22,76,39,0.003,0.131,n,,,,,
investment in canada,22,141,39,0.005,0.131,n,,,,,
deficit on trade,25,47,37,0.002,0.125,n,,,,,
jan to mar,25,471,37,0.017,0.125,n,,,,,
difference between canada,27,43,34,0.002,0.114,n,,,,,
system of national,27,121,34,0.004,0.114,n,,,,,
percentage of gdp,30,121,33,0.004,0.111,n,,,,,
apr to june,31,359,32,0.013,0.108,n,,,,,
july to sept,31,324,32,0.012,0.108,n,,,,,
rise to measurement,31,32,32,0.001,0.108,n,,,,,
transactions between residents,31,82,32,0.003,0.108,n,,,,,
