Tool;Query type;Parameters;Target;Term candidates;Terms confirmed;Term inferred;"Terms
total";Collocations;Remarks;;;
N-Gram;_NN;Regex, N-Gram Size 1, Open Slots 0, Min. Freq. 20, Min. Range 20;BOP_EN_RM;296;38;1;39;;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Keyword;_NN;Regex, Min. Freq. 20, Min. Range 20, Reference Corpus BE06_PressRev;BOP_EN_RM;222;40;NR;40;;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Keyword;_NN;Regex, Min. Freq. 20, Min. Range 20, Reference Corpus BE06_PressEd;BOP_EN_RM;261;42;NR;42;;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Keyword;_NN;Regex, Min. Freq. 20, Min. Range 20, Reference Corpus BE06_PressRep;BOP_EN_RM;271;43;NR;43;;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Cluster;_JJ _NN;Regex, Cluster Size 2, Min. Freq. 15, Min. Range 10;BOP_EN_RM;174;79;28;107;1;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Cluster; _NN _NN ;Regex, Cluster Size 2, Min. Freq. 15, Min. Range 10;BOP_EN_RM;163;59;52;111;7;Selection of higher freq. + range to reduce the noise, which would result from the small size of the cluster;;;
Cluster;_JJ _JJ _NN;Regex, Cluster Size 3, Min. Freq. 10, Min. Range 5;BOP_EN_RM;53;13;14;27;1;;;;
Cluster;_JJ _NN _NN;Regex, Cluster Size 3, Min. Freq. 10, Min. Range 5;BOP_EN_RM;69;26;7;33;16;;;;
Cluster;_NN _JJ  _NN;Regex, Cluster Size 3, Min. Freq. 5, Min. Range 5;BOP_EN_RM;6;1;3;4;0;;;;
Cluster;_NN _NN _NN;Regex, Cluster Size 3, Min. Freq. 10, Min. Range 5;BOP_EN_RM;68;24;10;34;8;;;;
Cluster;_NN _IN _NN;Regex, Cluster Size 3, Min. Freq. 10, Min. Range 5;BOP_EN;629;11;33;44;21;Analysis on the whole BOP corpus;;;
Cluster;_NN _IN _NN;Regex, Cluster Size 3, Min. Freq. 10, Min. Range 5;BOP_EN_RM;220;11;30;41;45;Same pattern as previous row, analysis limited to the BOP_RM corpus;;;
Cluster;_JJ _NN _IN _NN;Regex, Cluster Size 4, Min. Freq. 5, Min. Range 5;BOP_EN_RM;24;3;5;8;1;;;;
Cluster;_NN _IN _JJ _NN;Regex, Cluster Size 4, Min. Freq. 5, Min. Range 6;BOP_EN_RM;27;1;2;3;10;;;;
Cluster;_NN _IN _NN _NN;Regex, Cluster Size 4, Min. Freq. 5, Min. Range 5;BOP_EN_RM;38;2;12;14;4;;;;
Cluster;_JJ _NN _NN _NN;Regex, Cluster Size 4, Min. Freq. 5, Min. Range 5;BOP_EN_RM;5;2;2;4;0;;;;
Cluster;_JJ _NN _IN _JJ _NN;Regex, Cluster Size 5, Min. Freq. 5, Min. Range 5;BOP_EN_RM;6;1;2;3;0;;;;
Cluster; _JJ _NN _IN _NN _NN;Regex, Cluster Size 5, Min. Freq. 5, Min. Range 1;BOP_EN_RM;21;3;3;6;0;;;;
KWIC;other reserve assets;Regex, Context size 25 tokens, Sort to left;BOP_EN_RM;NR;NR;NR;NR;;;;;
KWIC;not included;Regex, Context size 25 tokens, Sort to left;BOP_EN;NR;NR;NR;NR;;;;;
;;;;;;;;;;;;
;;;;TOTAL;;;603;114;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
